ARQUIVO | TIPO | TAMANHO | SLOTS APLICÁVEIS
--------------------------------------------------------------------------------
antonio-vieira-corredor.jpg | individual | 155 KB | slot 47 (cases) · 30 (educacional alt)
antonio-vieira-sala-aula.jpg | individual | 160 KB | slot 47 (cases) · 30 (educacional principal)
girassol-biblioteca.jpg | individual | 118 KB | slot 30 (educacional alt)
girassol-patio-rooftop.jpg | individual | 97 KB | slot 30 (educacional alt)
girassol-atrio.jpg | individual | 99 KB | slot 30 (educacional alt)
anglo-corredor.jpg | individual | 102 KB | slot 30 (educacional alt)
anglo-salao-hexagonos.jpg | individual | 81 KB | slot 30 (educacional alt)
anglo-patio.jpg | individual | 228 KB | slot 30 (educacional alt)
praia-do-forte-sala-adega.jpg | individual | 398 KB | slot 70 (Real Estate)
praia-do-forte-drone-aereo.jpg | individual | 330 KB | slot 70 (Real Estate alt)
praia-do-forte-piscina-infinita.jpg | individual | 519 KB | slot 70 (Real Estate PRINCIPAL)
comp_lapidare.jpg | composicao | 292 KB | slot 3 (home) · 43 (cases) · 31 (saúde alt)
comp_community.jpg | composicao | 251 KB | slot 4 (home) · 44 (cases) · 30 (educacional alt)
comp_ftc-unex.jpg | composicao | 422 KB | slot 5 (home) · 45 (cases) · 31 (saúde alt)
comp_rembrandt.jpg | composicao | 299 KB | slot 46 (cases) · 30 (educacional alt)
comp_antonio-vieira.jpg | composicao | 247 KB | slot 47 (cases)
comp_girassol.jpg | composicao | 244 KB | slot 30 (educacional alt)
comp_escola-park.jpg | composicao | 353 KB | slot 30 (educacional alt)
comp_anglo-brasileiro.jpg | composicao | 254 KB | slot 30 (educacional alt)
comp_saude-sa-chieppe-ioa-hjv.jpg | composicao | 255 KB | slot 31 (saúde principal)
comp_restaurantes.jpg | composicao | 410 KB | slot 34 (food service principal)
comp_praia-do-forte.jpg | composicao | 501 KB | slot 70 (Real Estate)
comp_refugio-da-vila.jpg | composicao | 384 KB | slot 35 (hotelaria principal)
comp_agromix.jpg | composicao | 469 KB | slot 36 (varejo principal)
comp_caffeine-army.jpg | composicao | 226 KB | slot 32 (corporativo principal)
comp_tecmar.jpg | composicao | 412 KB | slot 37 (logística principal)
comp_emec.jpg | composicao | 436 KB | slot 37 (logística alt)
extra_canteiro-equipe.jpg | composicao | 185 KB | slot 75 (manifesto hero alt)
extra_depoimentos-clientes.jpg | composicao | 183 KB | slot 52, 57-60 (depoimentos — recortar individual)
